Algorithm;Determinismus;GoalReward;CliffReward;StepReward;Gamma;Alpha;Average Episodes Until Trained;Best Episodes Until Trained;Average Steps Once Trained;Best Steps Once Trained;Best Path Once Trained
QLearning;100, 0, 0, 0;100.0;-100.0;-100.0;0.7;0.7;9;8;33;6;P[0, 4]->P[0, 3]->P[1, 3]->P[2, 3]->P[3, 3]->P[4, 3]->P[4, 4]
QLearning;100, 0, 0, 0;100.0;-100.0;-100.0;0.7;0.4;20;17;33;6;P[0, 4]->P[0, 3]->P[1, 3]->P[2, 3]->P[3, 3]->P[4, 3]->P[4, 4]
QLearning;100, 0, 0, 0;100.0;-100.0;-100.0;0.7;0.99;7;5;33;6;P[0, 4]->P[0, 3]->P[1, 3]->P[2, 3]->P[3, 3]->P[4, 3]->P[4, 4]
QLearning;100, 0, 0, 0;100.0;-100.0;-100.0;0.7;0.01;101;2147483647;0;2147483647;
QLearning;100, 0, 0, 0;100.0;-100.0;-100.0;0.4;0.7;12;11;33;6;P[0, 4]->P[0, 3]->P[1, 3]->P[2, 3]->P[3, 3]->P[4, 3]->P[4, 4]
QLearning;100, 0, 0, 0;100.0;-100.0;-100.0;0.4;0.4;21;18;33;6;P[0, 4]->P[0, 3]->P[1, 3]->P[2, 3]->P[3, 3]->P[4, 3]->P[4, 4]
QLearning;100, 0, 0, 0;100.0;-100.0;-100.0;0.4;0.99;7;5;33;6;P[0, 4]->P[0, 3]->P[1, 3]->P[2, 3]->P[3, 3]->P[4, 3]->P[4, 4]
QLearning;100, 0, 0, 0;100.0;-100.0;-100.0;0.4;0.01;101;2147483647;0;2147483647;
QLearning;100, 0, 0, 0;100.0;-100.0;-100.0;0.99;0.7;9;8;33;6;P[0, 4]->P[0, 3]->P[1, 3]->P[2, 3]->P[3, 3]->P[4, 3]->P[4, 4]
QLearning;100, 0, 0, 0;100.0;-100.0;-100.0;0.99;0.4;16;14;33;6;P[0, 4]->P[0, 3]->P[1, 3]->P[2, 3]->P[3, 3]->P[4, 3]->P[4, 4]
QLearning;100, 0, 0, 0;100.0;-100.0;-100.0;0.99;0.99;7;4;33;6;P[0, 4]->P[0, 3]->P[1, 3]->P[2, 3]->P[3, 3]->P[4, 3]->P[4, 4]
QLearning;100, 0, 0, 0;100.0;-100.0;-100.0;0.99;0.01;101;2147483647;0;2147483647;
QLearning;100, 0, 0, 0;100.0;-100.0;-100.0;0.01;0.7;15;14;33;6;P[0, 4]->P[0, 3]->P[1, 3]->P[2, 3]->P[3, 3]->P[4, 3]->P[4, 4]
QLearning;100, 0, 0, 0;100.0;-100.0;-100.0;0.01;0.4;35;32;33;6;P[0, 4]->P[0, 3]->P[1, 3]->P[2, 3]->P[3, 3]->P[4, 3]->P[4, 4]
