Algorithm;Determinismus;GoalReward;CliffReward;StepReward;Gamma;Alpha;Average Episodes Until Trained;Best Episodes Until Trained;Average Steps Once Trained;Best Steps Once Trained;Best Path Once Trained
QLearning;100, 0, 0, 0;100.0;-100.0;-1.0E7;0.7;0.7;1;1;555;101;P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]
QLearning;100, 0, 0, 0;100.0;-100.0;-1.0E7;0.7;0.4;1;1;555;101;P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]
QLearning;100, 0, 0, 0;100.0;-100.0;-1.0E7;0.7;0.99;1;1;555;101;P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]
QLearning;100, 0, 0, 0;100.0;-100.0;-100.0;0.7;0.01;101;2147483647;0;2147483647;
QLearning;100, 0, 0, 0;100.0;-100.0;-1.0E7;0.7;0.01;1;1;555;101;P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]
QLearning;100, 0, 0, 0;100.0;-100.0;-1.0E7;0.4;0.7;1;1;555;101;P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]
QLearning;100, 0, 0, 0;100.0;-100.0;-1.0E7;0.4;0.4;1;1;555;101;P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]
QLearning;100, 0, 0, 0;100.0;-100.0;-100.0;0.4;0.01;101;2147483647;0;2147483647;
QLearning;100, 0, 0, 0;100.0;-100.0;-1.0E7;0.4;0.99;1;1;555;101;P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]
QLearning;100, 0, 0, 0;100.0;-100.0;-1.0E7;0.4;0.01;1;1;555;101;P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]->P[0, 4]
